"Handle","Title","Body (HTML)","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Grams","Variant Inventory Qty","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable"
"double-oven-gloves","Double Oven Gloves","<p>Heat resistant up to 200C; padded interior. Photo printed on both sides.</p>","ONJJEM","Oven Gloves","Kitchen;Gloves;Gift","TRUE","","","double-oven-gloves","0","100","74.99","","TRUE","TRUE"
"chopping-board","Photo Chopping Board","<p>Printed under tempered glass. Heat resistant; wipe clean.</p>","ONJJEM","Chopping Board","Kitchen;Board;Gift","TRUE","","","chopping-board","0","100","54.99","","TRUE","TRUE"
"tea-caddy","Heritage Photo Tea Caddy","<p>Airtight metal tin for 100g loose tea. Printed metal tin.</p>","ONJJEM","Tea Caddy","Kitchen;Tea;Gift","TRUE","","","tea-caddy","0","100","34.99","","TRUE","TRUE"
"table-runner","Photo Table Runner","<p>Full-length fabric table runner. 33x150 cm; machine washable.</p>","ONJJEM","Table Runner","Kitchen;Runner;Home","TRUE","Size","33x150 cm","table-runner","0","100","54.99","","TRUE","TRUE"
"wine-bottle-cooler","Photo Wine Bottle Cooler","<p>Stainless steel wine bottle cooler sleeve. Fits standard 75cl bottles.</p>","ONJJEM","Wine Cooler","Kitchen;Wine;Gift","TRUE","","","wine-bottle-cooler","0","100","99.99","","TRUE","TRUE"
"snack-bowl","Photo Snack Bowl","<p>Image inside reveals itself as snacks are eaten. Ceramic; 20 cm diameter.</p>","ONJJEM","Bowl","Kitchen;Bowl;Gift","TRUE","","","snack-bowl","0","100","49.99","","TRUE","TRUE"
"glass-vase","Personalised Glass Vase","<p>Full-colour photo glows through the glass. Clear glass; 25 cm height.</p>","ONJJEM","Vase","Home;Vase;Decor","TRUE","Size","25 cm","glass-vase","0","100","79.99","","TRUE","TRUE"
"metallic-vase","Metallic Photo Vase","<p>Metallic surface gives rich, luminous depth. 30 cm height.</p>","ONJJEM","Vase","Home;Vase;Decor","TRUE","Size","30 cm","metallic-vase","0","100","99.99","","TRUE","TRUE"
"plant-pot-large","Heritage Photo Plant Pot","<p>Ceramic plant pot with drainage hole. 20 cm height.</p>","ONJJEM","Plant Pot","Home;Plant;Decor","TRUE","Size","20 cm","plant-pot-large","0","100","59.99","","TRUE","TRUE"
"scented-candle","Scented Photo Candle","<p>Glass jar candle; choice of scents. 30-hour burn time.</p>","ONJJEM","Candle","Home;Candle;Gift","TRUE","Scent","Vanilla","scented-candle","0","100","34.99","","TRUE","TRUE"
"scented-candle","","","","","","","Scent","Lavender","scented-candle","0","100","34.99","","TRUE","TRUE"
"scented-candle","","","","","","","Scent","Rose","scented-candle","0","100","34.99","","TRUE","TRUE"
"storage-trunk","Heritage Storage Trunk","<p>Handmade wooden trunk for heirloom storage. Padded lid; velvet lining.</p>","ONJJEM","Storage","Home;Storage;Heirloom","TRUE","","","storage-trunk","0","100","199.99","","TRUE","TRUE"
"round-footstool","Photo Round Footstool","<p>Padded footstool with your photo on top. 40 cm diameter; beech wood legs.</p>","ONJJEM","Footstool","Home;Furniture;Decor","TRUE","Size","40 cm Diameter","round-footstool","0","100","149.99","","TRUE","TRUE"
"rug-living-room","Custom Living Room Rug","<p>Durable, short-pile rug for high-traffic areas. 150x100 cm or 200x150 cm.</p>","ONJJEM","Rug","Home;Rug;Decor","TRUE","Size","150x100 cm","rug-living-room","0","100","189","","TRUE","TRUE"
"rug-living-room","","","","","","","Size","200x150 cm","rug-living-room","0","100","189","","TRUE","TRUE"
"stickers-memory-vinyl","Memory Stickers","<p>Waterproof, UV-resistant vinyl stickers. Sheet of 20.</p>","ONJJEM","Stickers","Gift;Stickers;Everyday","TRUE","","","stickers-memory-vinyl","0","100","9.99","","TRUE","TRUE"
"magnets-heritage-5","Heritage Fridge Magnets","<p>Five premium acrylic magnets. Set of 5.</p>","ONJJEM","Magnets","Gift;Magnets;Everyday","TRUE","Set Size","Set of 5","magnets-heritage-5","0","100","12.99","","TRUE","TRUE"
"mat-photo-mouse","Photo Mouse Mat","<p>Smooth polyester with 6mm rubber base.</p>","ONJJEM","Mouse Mat","Gift;Office;Everyday","TRUE","","","mat-photo-mouse","0","100","19.99","","TRUE","TRUE"
"mug-masterlab-11oz","Master Lab Photo Mug","<p>High-gloss ceramic mug. 11 oz; dishwasher safe.</p>","ONJJEM","Mug","Gift;Mug;Everyday","TRUE","","","mug-masterlab-11oz","0","100","19.99","","TRUE","TRUE"
"coasters-gloss-set4","High-Gloss Coasters","<p>Sturdy wooden core with heat-proof gloss. Set of 4; 10x10 cm.</p>","ONJJEM","Coasters","Gift;Coasters;Everyday","TRUE","Set Size","Set of 4","coasters-gloss-set4","0","100","24.99","","TRUE","TRUE"
"keyring-leather-everyday","Genuine Leather Keyring","<p>Heart or rectangle shape; Nappa calf leather. Double-sided print.</p>","ONJJEM","Keyring","Gift;Keyring;Leather","TRUE","Shape","Heart","keyring-leather-everyday","0","100","24.99","","TRUE","TRUE"
"keyring-leather-everyday","","","","","","","Shape","Rectangle","keyring-leather-everyday","0","100","24.99","","TRUE","TRUE"
"labels-fabric-sheet12","Custom Fabric Labels","<p>Iron-on fabric labels for quilts/gifts. Sheet of 12.</p>","ONJJEM","Fabric Labels","Gift;Labels;Crafts","TRUE","Sheet Size","Sheet of 12","labels-fabric-sheet12","0","100","24.99","","TRUE","TRUE"
"bag-drawstring-heritage","Heritage Drawstring Bag","<p>Sustainable eco calico cotton. 44.5x31.8 cm.</p>","ONJJEM","Drawstring Bag","Gift;Bag;Everyday","TRUE","","","bag-drawstring-heritage","0","100","24.99","","TRUE","TRUE"
"notebook-handmade-a5","Handmade Notebook","<p>75 sheets of ivory artists paper. A5 (20.5x15 cm).</p>","ONJJEM","Notebook","Gift;Notebook;Everyday","TRUE","","","notebook-handmade-a5","0","100","24.99","","TRUE","TRUE"
"towel-heritage-tea","Heritage Tea Towel","<p>100% cotton; colour-fast. 50x70 cm.</p>","ONJJEM","Tea Towel","Gift;Tea Towel;Kitchen","TRUE","Size","50x70 cm","towel-heritage-tea","0","100","29.99","","TRUE","TRUE"
"socks-face","Face Socks","<p>Face printed all over. Sizes S / M / L.</p>","ONJJEM","Socks","Gift;Socks;Fun","TRUE","Size","S","socks-face","0","100","29.99","","TRUE","TRUE"
"socks-face","","","","","","","Size","M","socks-face","0","100","29.99","","TRUE","TRUE"
"socks-face","","","","","","","Size","L","socks-face","0","100","29.99","","TRUE","TRUE"
"calendar-heritage-photo","Heritage Photo Calendar","<p>Metal wire binding with hanging hook. A4 or A3 size; 12 months.</p>","ONJJEM","Calendar","Gift;Calendar;Home","TRUE","Size","A4","calendar-heritage-photo","0","100","29.99","","TRUE","TRUE"
"calendar-heritage-photo","","","","","","","Size","A3","calendar-heritage-photo","0","100","29.99","","TRUE","TRUE"
"leather-tote-bag","Luxury Leather Tote Bag","<p>100% genuine Italian Nappa leather. Hand-painted edges; faux suede lining.</p>","ONJJEM","Tote Bag","Fashion;Bag;Leather","TRUE","","","leather-tote-bag","0","100","249.99","","TRUE","TRUE"
"silk-scarf-square","Pure Silk Square Scarf","<p>100% natural Mulberry silk. 90x90 cm; hand-rolled edges.</p>","ONJJEM","Scarf","Fashion;Scarf;Silk","TRUE","Size","90x90 cm","silk-scarf-square","0","100","89.99","","TRUE","TRUE"
"photo-umbrella","Heritage Photo Umbrella","<p>Your photo printed across all 8 panels. Windproof frame; auto-open.</p>","ONJJEM","Umbrella","Fashion;Umbrella;Gift","TRUE","","","photo-umbrella","0","100","59.99","","TRUE","TRUE"
"leather-wallet-mens","Men's Leather Wallet","<p>Genuine leather with photo inside or out. 8 card slots; bill compartment.</p>","ONJJEM","Wallet","Fashion;Wallet;Leather","TRUE","","","leather-wallet-mens","0","100","74.99","","TRUE","TRUE"
"leather-purse-zip","Zip-Around Leather Purse","<p>Full-colour photo on genuine Nappa leather. 12 card slots; coin pocket.</p>","ONJJEM","Purse","Fashion;Purse;Leather","TRUE","","","leather-purse-zip","0","100","84.99","","TRUE","TRUE"
"leather-belt-wide","Wide Photo Wrap Belt","<p>Wide leather wrap belt with your portrait. Genuine leather; waist size 24-44in.</p>","ONJJEM","Belt","Fashion;Belt;Leather","TRUE","Size","24-44 inches","leather-belt-wide","0","100","179.99","","TRUE","TRUE"
"photo-sunglasses","Heritage Photo Sunglasses","<p>Your photo on the arms. UV400 lenses.</p>","ONJJEM","Sunglasses","Fashion;Sunglasses;Gift","TRUE","","","photo-sunglasses","0","100","44.99","","TRUE","TRUE"
"hair-brush","Photo Hair Brush","<p>Paddle hair brush with photo back panel. Soft bristles.</p>","ONJJEM","Hair Brush","Fashion;Brush;Gift","TRUE","","","hair-brush","0","100","59.99","","TRUE","TRUE"
"hair-scrunchies","Heritage Photo Scrunchies - Pack of 3","<p>Elasticated fabric scrunchies. Pack of 3.</p>","ONJJEM","Scrunchies","Fashion;Hair;Gift","TRUE","Pack Size","Pack of 3","hair-scrunchies","0","100","44.99","","TRUE","TRUE"
"leather-keyrings","Leather Photo Keyrings","<p>Genuine leather printed keyring. 6x4 cm.</p>","ONJJEM","Keyring","Fashion;Keyring;Leather","TRUE","","","leather-keyrings","0","100","24.99","","TRUE","TRUE"
"cufflinks","Heritage Photo Cufflinks","<p>Restored family portrait set under glass. Silver-tone setting; gift-boxed.</p>","ONJJEM","Cufflinks","Jewellery;Cufflinks;Gift","TRUE","","","cufflinks","0","100","49.99","","TRUE","TRUE"
"silk-tie","Heritage Silk Tie","<p>Photo printed across the full length. 100% silk; gift-boxed.</p>","ONJJEM","Tie","Jewellery;Tie;Silk","TRUE","","","silk-tie","0","100","59.99","","TRUE","TRUE"
"hip-flask","Leather Photo Hip Flask","<p>Stainless steel flask wrapped in leather. 6oz; genuine leather.</p>","ONJJEM","Hip Flask","Jewellery;Hip Flask;Gift","TRUE","Size","6oz","hip-flask","0","100","149.99","","TRUE","TRUE"
"wooden-earrings","Heritage Photo Wooden Earrings","<p>Lightweight plywood with natural grain. 4 cm diameter; stainless steel hooks.</p>","ONJJEM","Earrings","Jewellery;Earrings;Wooden","TRUE","Shape","Round","wooden-earrings","0","100","44.99","","TRUE","TRUE"
"wooden-earrings","","","","","","","Shape","Triangle","wooden-earrings","0","100","44.99","","TRUE","TRUE"
"wooden-necklace","Heritage Photo Wooden Necklace","<p>Plywood pendant on black cord. 45 cm cord; round or triangle.</p>","ONJJEM","Necklace","Jewellery;Necklace;Wooden","TRUE","Shape","Round","wooden-necklace","0","100","49.99","","TRUE","TRUE"
"wooden-necklace","","","","","","","Shape","Triangle","wooden-necklace","0","100","49.99","","TRUE","TRUE"
"photo-wristband","Heritage Photo Wristband","<p>Elasticated fabric wristband. One size fits most.</p>","ONJJEM","Wristband","Jewellery;Wristband;Gift","TRUE","","","photo-wristband","0","100","24.99","","TRUE","TRUE"
"heritage-heart-ornament","Heritage Heart Ornament","<p>Heart-shaped ceramic ornament. 9 cm; ribbon loop.</p>","ONJJEM","Ornament","Jewellery;Ornament;Gift","TRUE","Size","9 cm","heritage-heart-ornament","0","100","34.99","","TRUE","TRUE"
"wall-mural","The Masterpiece Wall Mural","<p>Turn your entire wall into life-sized portrait. 6 finishes; 120gsm to 350gsm.</p>","ONJJEM","Wall Mural","Wall;Mural;Feature","TRUE","Finish","Standard","wall-mural","0","100","59","","TRUE","TRUE"
"wall-mural","","","","","","","Finish","Premium","wall-mural","0","100","59","","TRUE","TRUE"
"wall-mural","","","","","","","Finish","Deluxe","wall-mural","0","100","59","","TRUE","TRUE"
"wall-mural","","","","","","","Finish","Luxury","wall-mural","0","100","59","","TRUE","TRUE"
"wall-mural","","","","","","","Finish","Master","wall-mural","0","100","59","","TRUE","TRUE"
"wall-mural","","","","","","","Finish","Ultimate","wall-mural","0","100","59","","TRUE","TRUE"
"bespoke-mural","Bespoke Wall Mural - Full Room","<p>Ultimate statement for room dimensions. Museum-grade wallpaper.</p>","ONJJEM","Wall Mural","Wall;Mural;Bespoke","TRUE","","","bespoke-mural","0","100","75","","TRUE","TRUE"
"wallpaper-sample","Master Lab Wallpaper Sample","<p>See the AI restoration detail in person. 62x30 cm; credited back on full order.</p>","ONJJEM","Wallpaper Sample","Wall;Sample;Gift","TRUE","","","wallpaper-sample","0","100","5","","TRUE","TRUE"
"junior-throw-100x73","Junior Throw Blanket","<p>Soft throw with team or sports hero. 100x73 cm; 570gsm fleece.</p>","ONJJEM","Throw Blanket","Junior;Sports;Blanket","TRUE","Size","100x73 cm","junior-throw-100x73","0","100","54.99","","TRUE","TRUE"
"junior-duvet","Sports Hero Duvet Cover","<p>Team photo printed on organic cotton. Junior to King; 100% Organic Cotton.</p>","ONJJEM","Duvet Cover","Junior;Sports;Bedroom","TRUE","Size","Single","junior-duvet","0","100","69","","TRUE","TRUE"
"junior-duvet","","","","","","","Size","Double","junior-duvet","0","100","69","","TRUE","TRUE"
"junior-duvet","","","","","","","Size","King","junior-duvet","0","100","69","","TRUE","TRUE"
"junior-peel-stick-poster","Peel and Stick Team Poster","<p>Giant bedroom sticker; no frames required. A1 (59x84 cm).</p>","ONJJEM","Poster","Junior;Sports;Poster","TRUE","Size","A1","junior-peel-stick-poster","0","100","34.99","","TRUE","TRUE"
"junior-wall-mural","Bespoke Wall Mural (Full Room)","<p>Custom-fit stadium or team mural. Made to measure.</p>","ONJJEM","Wall Mural","Junior;Sports;Mural","TRUE","","","junior-wall-mural","0","100","149","","TRUE","TRUE"
"junior-curtains","Bespoke Team Curtains","<p>Custom-fit blackout curtains. Blackout lining; made to measure.</p>","ONJJEM","Curtains","Junior;Sports;Curtains","TRUE","","","junior-curtains","0","100","125","","TRUE","TRUE"
"ribbon-photo-per-metre","Bespoke Photo Ribbon","<p>Satin-finish ribbon with restored memories. Per metre; hand-finished.</p>","ONJJEM","Ribbon","Gift;Ribbon;Personalisation","TRUE","Length","Per Metre","ribbon-photo-per-metre","0","100","14.95","","TRUE","TRUE"
"gift-tags-heritage-20","Heritage Gift Tags","<p>Double-sided premium tags. Pack of 20; hanging chains.</p>","ONJJEM","Gift Tags","Gift;Tags;Packaging","TRUE","Pack Size","Pack of 20","gift-tags-heritage-20","0","100","24.99","","TRUE","TRUE"
